URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://terminology.hl7.org/ValueSet/v2-0074,3.0.0,active,"2.16.840.1.113883.21.32",Hl7VSDiagnosticServiceSectionId,hl7VS-diagnosticServiceSectionId,"Concepts which specify a section of a diagnostic service where the observation may be performed.","StructureDefinition/ophthalmic-diagnostic-report","THO (V2)"
https://YasniiSS.github.io/fhir4eyes/ValueSet/low-vision-assessment-vs,0.3.0,draft,,LowVisionAssessmentVS,Low Vision Assessment Value Set,"Qualitative visual acuity for patients whose vision falls below what any chart can measure (ICD-11 blindness categories 4 through 6). All five codes are confirmed SNOMED CT concepts, verified directly against the SNOMED CT browser. See Terminology for the full clinical and terminology rationale. The counting-fingers concept below uses the generic code by default; the more specific distance-based codes may be used instead when that detail is known.","StructureDefinition/ophthalmic-visual-acuity","SCT"
https://YasniiSS.github.io/fhir4eyes/ValueSet/ophthalmic-care-plan-category-vs,0.3.0,draft,,OphthalmicCarePlanCategoryVS,Ophthalmic Care Plan Category Value Set,"The type of ophthalmic treatment scheme. Proposed FHIR4Eyes-only codes, open to revision if a suitable external code is identified later.","StructureDefinition/ophthalmic-care-plan","Internal"
