Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/Observation-NearPointOfConvergenceExample.json	621	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	290	245	0	0	2	0	0	0
fsh-generated/resources/Observation-OCTMaculaLeftEyeExample2.json	4123	2	0	0	0	0	0	0	1	17	0	0	0	0	0	0	0	1	0	0	1358	255	0	0	2	0	0	0
fsh-generated/resources/Observation-OCTMaculaRightEyeExample.json	4124	3	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	1492	266	0	0	2	0	0	0
fsh-generated/resources/Observation-OCTRNFLLeftEyeExample.json	5483	9	0	0	0	0	0	0	2	14	0	0	0	0	0	0	0	0	0	0	1886	245	0	0	2	0	0	1
fsh-generated/resources/Observation-OCTRNFLRightEyeExample.json	5476	9	0	0	0	0	0	0	2	13	0	0	0	0	0	0	0	0	0	0	1760	276	0	0	3	0	0	0
fsh-generated/resources/Observation-OcularMotilityLeftEyeExample.json	1001	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	395	257	0	0	2	0	0	0
fsh-generated/resources/Observation-OcularMotilityRightEyeExample.json	1004	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	392	226	0	0	3	0	0	0
fsh-generated/resources/Observation-PachymetryLeftEyeExample.json	877	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	354	315	0	0	2	0	0	0
fsh-generated/resources/Observation-PachymetryRightEyeExample.json	879	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	351	345	0	0	2	0	0	0
fsh-generated/resources/Observation-PrismCoverTestExample.json	1008	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	450	431	0	0	2	0	0	0
fsh-generated/resources/Observation-PrismCoverTestPrimaryPositionExample.json	1296	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	452	554	0	0	2	0	0	0
fsh-generated/resources/Observation-SpecularMicroscopyRightEyeExample.json	3015	4	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	1152	358	0	0	1	0	0	0
