URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/encounter-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.248",EncounterType,Encounter type,"This example value set defines a set of codes that can be used to indicate the type of encounter: a specific code indicating type of service provided.","StructureDefinition/ophthalmic-encounter","THO"
http://hl7.org/fhir/ValueSet/event-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.109",EventStatus,EventStatus,"Codes identifying the lifecycle stage of an event.","StructureDefinition/ophthalmic-procedure","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/imagingstudy-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.990",ImagingStudyStatus,ImagingStudyStatus,"The status of the ImagingStudy.","StructureDefinition/ophthalmic-imaging-study","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/languages,4.0.1,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/stereopsis-test,StructureDefinition/intraocular-pressure,StructureDefinition/ophthalmic-visual-acuity,StructureDefinition/ocular-body-structure,StructureDefinition/tension-curve,StructureDefinition/ophthalmic-device,StructureDefinition/ophthalmic-oct-rnfl,StructureDefinition/cover-test,StructureDefinition/ophthalmic-oct-macula,StructureDefinition/convergence-assessment,StructureDefinition/gaze-position-measurement,StructureDefinition/ophthalmic-diagnostic-report,StructureDefinition/red-filter-light-test,StructureDefinition/near-point-of-convergence,StructureDefinition/pachymetry,StructureDefinition/strabismus-exam,StructureDefinition/ophthalmic-condition,StructureDefinition/hirschberg-test,StructureDefinition/ophthalmic-encounter,StructureDefinition/ophthalmic-procedure,StructureDefinition/ocular-motility,StructureDefinition/ophthalmic-imaging-study,StructureDefinition/prism-cover-test,StructureDefinition/ophthalmic-service-request,StructureDefinition/worth-4-dot-test,StructureDefinition/ophthalmic-medication-administration,StructureDefinition/krimsky-test,StructureDefinition/ophthalmic-care-plan,StructureDefinition/corrected-intraocular-pressure,StructureDefinition/ophthalmic-medication","Other"
http://hl7.org/fhir/ValueSet/location-physical-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.328",LocationType,Location type,"This example value set defines a set of codes that can be used to indicate the physical form of the Location.","StructureDefinition/ophthalmic-encounter","THO"
http://hl7.org/fhir/ValueSet/manifestation-or-symptom,4.0.1,draft,"2.16.840.1.113883.4.642.3.169",ManifestationAndSymptomCodes,Manifestation and Symptom Codes,"Example value set for Manifestation and Symptom codes.","StructureDefinition/ophthalmic-condition","SCT"
http://hl7.org/fhir/ValueSet/med-admin-perform-function,4.0.1,draft,"2.16.840.1.113883.4.642.3.349",MedicationAdministration Performer Function Codes,Medication administration  performer  function  codes,"MedicationAdministration Performer Function Codes","StructureDefinition/ophthalmic-medication-administration","THO"
http://hl7.org/fhir/ValueSet/medication-admin-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.347",MedicationAdministration Category Codes,Medication administration  category  codes,"MedicationAdministration Category Codes","StructureDefinition/ophthalmic-medication-administration","THO"
http://hl7.org/fhir/ValueSet/medication-admin-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.340",MedicationAdministration Status Codes,Medication administration  status  codes,"MedicationAdministration Status Codes","StructureDefinition/ophthalmic-medication-administration","THO"
http://hl7.org/fhir/ValueSet/medication-as-needed-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.96",SNOMEDCTMedicationAsNeededReasonCodes,SNOMED CT Medication As Needed Reason Codes,"This value set includes all clinical findings from SNOMED CT - provided as an exemplar value set.","StructureDefinition/ophthalmic-service-request","SCT"
http://hl7.org/fhir/ValueSet/medication-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.375",SNOMEDCTMedicationCodes,SNOMED CT Medication Codes,"This value set includes all drug or medicament substance codes and all pharmaceutical/biologic products from SNOMED CT - provided as an exemplar value set.","StructureDefinition/ophthalmic-care-plan,StructureDefinition/ophthalmic-medication","SCT"
http://hl7.org/fhir/ValueSet/medication-form-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.374",SNOMEDCTFormCodes,SNOMED CT Form Codes,"This value set includes all dose form codes from SNOMED CT - provided as an exemplar.","StructureDefinition/ophthalmic-medication","SCT"
http://hl7.org/fhir/ValueSet/medication-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.376",Medication Status Codes,Medication  status  codes,"Medication Status Codes","StructureDefinition/ophthalmic-medication","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/observation-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.403",ObservationCategoryCodes,Observation Category Codes,"Observation Category codes.","StructureDefinition/red-filter-light-test,StructureDefinition/stereopsis-test,StructureDefinition/near-point-of-convergence,StructureDefinition/intraocular-pressure,StructureDefinition/pachymetry,StructureDefinition/strabismus-exam,StructureDefinition/ophthalmic-visual-acuity,StructureDefinition/hirschberg-test,StructureDefinition/tension-curve,StructureDefinition/ocular-motility,StructureDefinition/ophthalmic-oct-rnfl,StructureDefinition/cover-test,StructureDefinition/ophthalmic-oct-macula,StructureDefinition/prism-cover-test,StructureDefinition/convergence-assessment,StructureDefinition/worth-4-dot-test,StructureDefinition/krimsky-test,StructureDefinition/gaze-position-measurement,StructureDefinition/corrected-intraocular-pressure","THO"
http://hl7.org/fhir/ValueSet/observation-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.396",LOINCCodes,LOINC Codes,"This value set includes all LOINC codes","StructureDefinition/red-filter-light-test,StructureDefinition/stereopsis-test,StructureDefinition/near-point-of-convergence,StructureDefinition/intraocular-pressure,StructureDefinition/pachymetry,StructureDefinition/strabismus-exam,StructureDefinition/ophthalmic-visual-acuity,StructureDefinition/hirschberg-test,StructureDefinition/tension-curve,StructureDefinition/ocular-motility,StructureDefinition/ophthalmic-oct-rnfl,StructureDefinition/cover-test,StructureDefinition/ophthalmic-oct-macula,StructureDefinition/prism-cover-test,StructureDefinition/convergence-assessment,StructureDefinition/worth-4-dot-test,StructureDefinition/krimsky-test,StructureDefinition/gaze-position-measurement,StructureDefinition/corrected-intraocular-pressure","LOINC"
http://hl7.org/fhir/ValueSet/observation-interpretation,4.0.1,active,"2.16.840.1.113883.4.642.3.399",ObservationInterpretationCodes,Observation Interpretation Codes,"A categorical assessment, providing a rough qualitative interpretation of the observation value,    such as “normal”/ “abnormal”,”low” / “high”, “better” / “worse”, “susceptible” / “resistant”, “expected”/ “not expected”.    The value set is intended to be for ANY use where coded representation of an interpretation is needed.             Notes:          This is being communicated in v2.x in OBX-8 (Observation Interpretation), in v3 in ObservationInterpretation (CWE) in R1 (Representative Realm) and in FHIR in    Observation.interpretation. Historically these values come from the laboratory domain, and these codes are extensively    used. The value set binding is extensible, so codes outside the value set that are needed for interpretation concepts    (i.e. particular meanings) that are not included in the value set can be used, and these new codes may also be added to    the value set and published in a future version.","StructureDefinition/red-filter-light-test,StructureDefinition/stereopsis-test,StructureDefinition/near-point-of-convergence,StructureDefinition/intraocular-pressure,StructureDefinition/pachymetry,StructureDefinition/strabismus-exam,StructureDefinition/ophthalmic-visual-acuity,StructureDefinition/hirschberg-test,StructureDefinition/tension-curve,StructureDefinition/ocular-motility,StructureDefinition/ophthalmic-oct-rnfl,StructureDefinition/cover-test,StructureDefinition/ophthalmic-oct-macula,StructureDefinition/prism-cover-test,StructureDefinition/convergence-assessment,StructureDefinition/worth-4-dot-test,StructureDefinition/krimsky-test,StructureDefinition/gaze-position-measurement,StructureDefinition/corrected-intraocular-pressure","THO (V3)"
http://hl7.org/fhir/ValueSet/observation-methods,4.0.1,draft,"2.16.840.1.113883.4.642.3.395",ObservationMethods,Observation Methods,"Observation Method codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 272394005 (Technique (qualifier value)) or is-a 129264002 (Action (qualifier value)) or is-a 386053000 (Evaluation procedure(procedure))","StructureDefinition/red-filter-light-test,StructureDefinition/stereopsis-test,StructureDefinition/near-point-of-convergence,StructureDefinition/intraocular-pressure,StructureDefinition/pachymetry,StructureDefinition/strabismus-exam,StructureDefinition/ophthalmic-visual-acuity,StructureDefinition/hirschberg-test,StructureDefinition/tension-curve,StructureDefinition/ocular-motility,StructureDefinition/ophthalmic-oct-rnfl,StructureDefinition/cover-test,StructureDefinition/ophthalmic-oct-macula,StructureDefinition/prism-cover-test,StructureDefinition/convergence-assessment,StructureDefinition/worth-4-dot-test,StructureDefinition/krimsky-test,StructureDefinition/gaze-position-measurement,StructureDefinition/corrected-intraocular-pressure","SCT"
http://hl7.org/fhir/ValueSet/observation-status,4.0.1,active,"2.16.840.1.113883.4.642.3.400",ObservationStatus,ObservationStatus,"Codes providing the status of an observation.","StructureDefinition/red-filter-light-test,StructureDefinition/stereopsis-test,StructureDefinition/near-point-of-convergence,StructureDefinition/intraocular-pressure,StructureDefinition/pachymetry,StructureDefinition/strabismus-exam,StructureDefinition/ophthalmic-visual-acuity,StructureDefinition/hirschberg-test,StructureDefinition/tension-curve,StructureDefinition/ocular-motility,StructureDefinition/ophthalmic-oct-rnfl,StructureDefinition/cover-test,StructureDefinition/ophthalmic-oct-macula,StructureDefinition/prism-cover-test,StructureDefinition/convergence-assessment,StructureDefinition/worth-4-dot-test,StructureDefinition/krimsky-test,StructureDefinition/gaze-position-measurement,StructureDefinition/corrected-intraocular-pressure","hl7.fhir.r4.core"
